Date,Open,High,Low,Close,Adjusted_close,Volume
2021-10-21,451.77,453.829,451.31,453.59,448.6609,41305441
2021-10-22,453.13,454.67,451.05,453.12,448.196,58845090
2021-10-25,454.28,455.9,452.39,455.55,450.5996,45214512
2021-10-26,457.2,458.49,455.56,455.96,451.0052,56075121
2021-10-27,456.45,457.16,453.86,453.94,449.0071,72438000
2021-10-28,455.46,458.4,455.45,458.32,453.3395,51437941
2021-10-29,455.87,459.56,455.56,459.25,454.2594,70162414
2021-11-01,460.3,460.7021,458.2,460.04,455.0408,48433641
2021-11-02,460.22,462.23,460.08,461.9,456.8806,48908422
2021-11-03,461.3,465.15,460.83,464.72,459.67,52509832
2021-11-04,465.36,467,464.99,466.91,461.8362,52847090
2021-11-05,469.28,470.65,466.92,468.53,463.4386,66390562
2021-11-08,469.7,470.23,468.2031,468.93,463.8342,50405191
2021-11-09,469.32,469.57,465.88,467.38,462.3011,51149152
2021-11-10,465.58,467.38,462.04,463.62,458.5819,69429648
2021-11-11,465.21,465.29,463.75,463.77,458.7303,34848500
2021-11-12,465.12,467.86,464.11,467.27,462.1923,53466648
2021-11-15,468.64,468.81,466.23,467.43,462.3505,46980500
2021-11-16,467.15,470.485,467.07,469.28,464.1804,48857500
2021-11-17,469,469.19,467.48,468.14,463.0528,47858289
2021-11-18,469.24,470.01,466.34,469.73,464.6255,50625609
2021-11-19,469.61,470.94,468.5,468.89,463.7947,57315566
2021-11-22,470.89,473.54,467.35,467.57,462.489,72761953
2021-11-23,467.22,469.095,464.45,468.19,463.1023,73206547
2021-11-24,466.06,469.57,465.19,469.44,464.3387,61858809
2021-11-26,462.34,463.9,457.77,458.97,453.9825,112669602
2021-11-29,464.07,466.56,461.73,464.6,459.5513,86268812
2021-11-30,462,464.03,455.3,455.56,450.6095,148559594
2021-12-01,461.64,464.67,450.29,450.5,445.6045,132485797
2021-12-02,450.73,459.07,450.31,457.4,452.4295,127637797
2021-12-03,459.17,460.3,448.92,453.42,448.4928,137331594
2021-12-06,456.13,460.79,453.56,458.79,453.8044,98977531
2021-12-07,464.41,468.88,458.6546,468.28,463.1913,95484688
2021-12-08,468.7,470,466.83,469.52,464.4178,72238781
2021-12-09,468.15,469.6291,466.14,466.35,461.2823,61272566
2021-12-10,469.23,470.9,466.51,470.74,465.6246,77159758
2021-12-13,470.19,470.56,466.27,466.57,461.4999,87724680
2021-12-14,463.09,465.74,460.25,463.36,458.3247,97264125
2021-12-15,463.42,470.86,460.74,470.6,465.4861,116899297
2021-12-16,472.57,472.87,464.8,466.45,461.3812,116568602
2021-12-17,461.55,464.74,458.06,459.87,456.4741,135636500
2021-12-20,454.48,455.4,451.14,454.98,451.6202,107134797
2021-12-21,458.61,463.21,456.31,463.06,459.6405,69806258
2021-12-22,462.79,467.81,462.58,467.69,464.2364,58890219
2021-12-23,468.75,472.19,468.64,470.6,467.1249,56439754
2021-12-27,472.06,477.31,472.01,477.26,473.7357,56808621
2021-12-28,477.72,478.81,476.06,476.87,473.3486,47274594
2021-12-29,476.98,478.56,475.92,477.48,473.9541,54502961
2021-12-30,477.93,479,475.67,476.16,472.6438,55329039
2021-12-31,475.64,476.86,474.67,474.96,471.4527,65237434
2022-01-03,476.3,477.85,473.85,477.71,474.1824,72668234
2022-01-04,479.22,479.98,475.58,477.55,474.0235,71178680
2022-01-05,477.16,477.98,468.2801,468.38,464.9213,104538898
2022-01-06,467.89,470.82,465.43,467.94,464.4845,86858898
2022-01-07,467.95,469.2,464.65,466.09,462.6482,85111594
2022-01-10,462.7,465.74,456.5973,465.51,462.0725,119362000
2022-01-11,465.23,469.85,462.05,469.75,466.2811,74303055
2022-01-12,471.59,473.2,468.94,471.02,467.5418,67605438
2022-01-13,472.19,472.88,463.44,464.53,461.0997,91173117
2022-01-14,461.19,465.09,459.9,464.72,461.2883,95890953
2022-01-18,459.74,459.96,455.31,456.49,453.1191,109872398
2022-01-19,458.13,459.6124,451.46,451.75,448.4141,109357602
2022-01-20,453.75,458.74,444.5,446.75,443.451,122379695
2022-01-21,445.56,448.06,437.95,437.98,434.7458,202271203
2022-01-24,432.03,440.38,420.76,439.84,436.592,252496703
2022-01-25,433.06,439.72,427.15,434.47,431.2617,167997297
2022-01-26,440.72,444.04,428.86,433.38,430.1797,186391109
2022-01-27,438.26,441.59,429.45,431.24,428.0555,149878297
2022-01-28,432.68,442,427.82,441.95,438.6864,164457406
2022-01-31,441.24,450.28,439.81,449.91,446.5877,152251391
